Team,SF,G,HR,OBP,H,GIDP,SB
HIC,0,1,0,.000,0,0,0
HAG,0,28,2,.295,20,1,0
ROM,1,105,7,.292,100,10,6
CSC,0,15,0,.229,4,0,1
LC,0,4,0,.429,3,0,0
AUG,0,20,0,.246,11,3,0
SAV,1,9,0,.125,4,1,1
LWD,2,45,1,.312,32,1,2
KAN,3,112,6,.311,90,4,18
DEL,0,16,0,.313,12,1,0
LEX,2,58,0,.267,41,3,2
LC,1,39,1,.241,19,4,1
SAV,3,105,6,.308,105,14,0
CSC,6,59,2,.291,37,3,9
LWD,1,64,1,.229,36,5,10
SAV,1,31,2,.252,22,2,1
LC,4,74,5,.293,62,4,2
CSC,0,12,1,.162,2,1,1
SAV,1,38,0,.367,34,4,0
HAG,1,34,2,.261,19,3,1
GVL,1,10,0,.316,4,0,0
ROM,0,118,1,.296,106,4,28
SAV,1,56,0,.301,48,5,2
HAG,1,87,6,.336,95,11,4
LWD,1,91,5,.321,84,7,4
LWD,0,35,1,.231,19,4,1
CSC,7,122,23,.334,124,15,1
COL,2,50,0,.268,26,4,2
HIC,1,97,3,.310,83,7,14
GBO,1,74,8,.305,54,6,4
DEL,2,127,11,.310,133,12,20
SAV,0,30,2,.382,29,2,0
LC,4,113,11,.328,117,4,14
LEX,0,23,1,.309,21,1,6
KAN,0,6,1,.118,2,0,0
GBO,2,33,7,.306,27,4,0
GBO,1,25,1,.330,22,6,2
LC,2,47,1,.356,35,7,1
LEX,0,32,7,.285,30,2,1
