OPS,GIDP,SO,G,RBI,R,AVG,CS,AB,SB
.798,2,44,46,24,25,.281,2,171,8
.637,6,78,77,35,27,.207,3,241,3
.393,2,7,21,2,7,.143,0,56,0
.622,4,91,92,26,35,.227,7,299,3
.397,0,4,6,2,1,.167,0,12,0
.649,10,108,121,40,47,.231,5,458,3
.830,2,3,6,1,3,.318,0,22,1
1.455,0,3,3,4,2,.400,0,10,0
.815,2,10,24,12,10,.278,1,79,0
.810,3,51,83,31,48,.300,4,327,7
.822,6,127,120,70,66,.266,0,429,2
.802,11,87,121,68,64,.270,3,463,1
.604,3,41,63,17,29,.238,3,240,7
.552,2,40,45,10,11,.211,0,133,0
.619,0,2,2,0,2,.167,0,6,0
.133,0,3,7,0,0,.067,0,15,0
.708,2,88,75,25,40,.221,9,235,35
.240,1,10,15,1,3,.108,0,37,1
.665,6,48,76,21,41,.263,11,251,9
.609,13,71,91,30,34,.234,1,320,2
.818,9,59,67,48,43,.276,0,261,2
.810,14,62,130,86,46,.327,3,496,6
.639,5,36,54,25,24,.220,2,191,0
.724,20,37,104,44,59,.306,1,418,8
.593,5,54,67,19,27,.218,4,211,3
