POS,Player,SB,SH,Team,OBP,OPS,AVG
OF,A Eaton,0,0,DIA,.600,1.1,.500
1B,M Scioscia,0,0,ANG,.245,0.5,.213
CF,D DeJesus,1,0,CUB,.429,0.929,.333
RF,J Beras,1,0,RAN,.314,0.752,.250
1B,M Herum,1,0,DIA,.369,0.673,.268
OF,R Crawford,10,3,CUB,.299,0.575,.210
3B,K Bryant,0,0,CUB,.143,0.476,.167
2B,L Valenzuela,2,0,ROY,.200,0.33,.130
C,D Lopez,0,0,ATH,.394,0.794,.200
C,N Rosario,0,0,CUB,.000,0.0,.000
CF,B Jackson,0,0,CUB,.133,0.205,.071
3B,T Hankins,4,0,IND,.474,1.007,.333
SS,W Solano,0,0,ATH,.290,0.483,.154
1B,P Llewellyn,3,3,DIA,.259,0.546,.194
1B,R Huck,0,0,ATH,.533,1.383,.475
OF,M Fish,6,0,ANG,.451,1.163,.409
1B,L Uxa,2,0,RED,.379,0.818,.281
CF,E Hargreaves,0,0,RED,.364,0.664,.300
2B,J Delgado,0,0,GIA,.286,0.452,.167
SS,C Penalver,0,0,CUB,.333,0.487,.154
3B,R Cavan,0,0,GIA,.568,1.252,.526
SS,C Thompson,3,1,RED,.341,0.682,.266
C,J Atkins,0,0,ROY,.091,0.091,.000
OF,J Urena,1,0,PAD,.341,0.849,.257
2B,F Ozuna,1,0,DIA,.375,0.834,.351
C,C Gonzalez,5,2,ROY,.270,0.491,.202
C,R Valenzuela,0,0,PAD,.274,0.539,.221
CF,B McKinney,7,0,ATH,.383,0.798,.320
3B,R Dale,3,3,ROY,.318,0.608,.237
1B,A Chavez,8,2,RED,.249,0.494,.209
OF,E Rubio,4,1,BRE,.386,0.867,.314
C,L Lara,0,0,ROY,.200,0.414,.143
OF,H Mercedes,1,0,GIA,.255,0.621,.215
OF,D McClure,1,0,IND,.282,0.579,.218
C,C Moorman,0,1,RAN,.264,0.591,.210
1B,B Serrato,1,0,RAN,.450,0.983,.267
LF,D Compton,0,0,DOD,.091,0.182,.091
C,E Smith,1,0,DOD,.600,0.933,.333
SS,A Allbritton,5,0,ANG,.308,0.619,.262
3B,R Bruguera,0,0,PAD,.192,0.41,.087
SS,B Miller,0,0,GIA,.412,0.649,.211
2B,E Charles,0,0,PAD,.375,0.946,.286
2B,N Goro,13,5,ANG,.287,0.569,.218
C,D Reid-Foley,0,1,DOD,.333,0.625,.208
OF,R Torres,3,1,DOD,.267,0.601,.178
C,J Alfaro,2,0,RAN,.500,1.31,.429
C,C Garay,0,2,RAN,.310,0.565,.214
C,B Teschner,0,0,RAN,.385,0.585,.200
3B,J Arenado,0,0,GIA,.286,0.549,.211
3B,J Vitters,0,0,CUB,.294,0.448,.077
C,D Torres,1,2,MAR,.296,0.576,.240
OF,T Horan,1,0,GIA,.321,0.709,.245
OF,R King,3,4,ROY,.311,0.582,.212
RF,R Sweeney,0,0,CUB,.412,0.84,.286
CF,K Garcia,6,5,RED,.399,0.876,.328
SS,S Halcomb,5,1,BRE,.406,0.76,.317
OF,B Thomas,0,0,MAR,.321,0.706,.269
1B,D Cooper,0,0,IND,.481,1.041,.440
3B,L Fontaine,0,0,MAR,.288,0.518,.200
SS,J Westbrook,3,0,DIA,.373,0.84,.292
C,T Dial,2,0,PAD,.338,0.681,.271
SS,R Moreno,10,1,GIA,.403,0.856,.342
C,A Paz,0,0,ATH,.304,0.641,.228
OF,J Cardona,7,0,RAN,.340,0.705,.280
OF,J Zarraga,4,0,ATH,.339,0.779,.275
C,B Lopez,0,0,DIA,.381,0.7,.255
RF,J Whitaker,0,0,ATH,.000,0.0,.000
OF,S Masik,2,1,ATH,.415,0.727,.250
2B,O Florentino,3,0,RED,.240,0.423,.161
C,J De La Cruz,1,0,IND,.433,0.845,.294
C,J Thys,0,1,DIA,.255,0.484,.208
2B,W Bloomquist,0,0,DIA,.571,1.155,.500
3B,M Giuffre,1,0,IND,.421,0.652,.154
C,S Kim,0,0,ATH,.233,0.381,.148
2B,L Mendez,9,4,RAN,.356,0.734,.281
C,D Stiner,0,0,GIA,.310,0.742,.297
2B,K Pellant,15,5,ANG,.379,0.831,.310
3B,G Fink,2,0,IND,.355,0.78,.263
C,J Linares,0,0,DOD,.000,0.0,.000
CF,J Fargas,8,1,GIA,.393,0.744,.299
1B,A Sharkey,1,2,BRE,.300,0.579,.209
OF,M Shannon,0,0,ANG,.250,0.583,.222
3B,D Peterson,3,0,PAD,.337,0.681,.293
C,F Vivili,1,0,RAN,.245,0.655,.180
CF,J Harris,3,7,DOD,.339,0.63,.243
OF,B Gomez,6,0,ROY,.379,0.846,.277
C,A Mineo,0,0,CUB,.300,0.578,.222
OF,Y Rosario,1,0,DIA,.339,0.739,.238
RF,F Reyes,5,0,PAD,.387,0.854,.315
OF,J Dunigan,0,0,MAR,.333,1.167,.333
3B,J Gallo,1,0,RAN,.429,1.323,.368
LF,B Bogusevic,3,0,CUB,.531,1.171,.400
C,F Mejia,3,1,IND,.348,0.872,.305
DH,J Jocketty,0,2,RED,.417,0.577,.160
OF,C Mack,0,0,MAR,.433,0.89,.304
CF,A Fukofuka,10,3,ROY,.359,0.705,.244
OF,V Cabral,8,2,IND,.278,0.546,.216
C,T Norton,0,0,BRE,.244,0.453,.191
3B,C Carrasco,0,0,DIA,.365,0.793,.312
C,R Scott,0,2,DOD,.259,0.463,.143
OF,B Diaz,21,2,BRE,.395,0.854,.286
C,C Patterson,0,3,ANG,.296,0.582,.165
3B,L Valbuena,1,0,CUB,.750,1.75,.714
SS,L Kauppila,1,0,MAR,.455,0.878,.385
OF,M Vinson,6,0,DIA,.297,0.69,.196
2B,T Wrenn,0,1,RAN,.383,0.798,.317
2B,R Garcia,0,0,DIA,.255,0.436,.170
OF,J Davis,17,1,BRE,.351,0.714,.294
OF,N Delgado,4,0,ANG,.311,0.733,.271
2B,I Kiner-Falefa,12,4,RAN,.388,0.744,.322
SS,T Demeritte,5,0,RAN,.411,0.856,.285
2B,A Ford,5,0,PAD,.295,0.577,.212
DH,J Chigbogu,0,0,DOD,.360,1.121,.326
2B,J Galvez,0,0,PAD,.000,0.0,.000
SS,E Mejia,2,2,MAR,.407,0.847,.360
SS,C Daal,0,0,RED,.182,0.325,.143
3B,A Kubala,0,1,ATH,.266,0.619,.147
RF,A Aquino,4,0,RED,.325,0.805,.278
1B,R Healy,0,0,ATH,.273,0.773,.214
1B,B Dulin,5,0,ROY,.332,0.74,.269
C,P Pizarro,3,0,ANG,.373,0.682,.262
OF,R Boykin,11,0,PAD,.358,0.67,.279
C,J Cleary,0,0,BRE,.278,0.58,.233
2B,T Stevens,1,1,CUB,.388,0.717,.257
1B,S Duenez,6,0,ROY,.337,0.716,.294
1B,A Guzman,0,0,RED,.293,0.719,.227
C,M Pare,0,0,GIA,.320,0.67,.200
OF,C Cano,4,2,ROY,.361,0.664,.258
OF,J Higley,4,0,ATH,.363,0.853,.275
SS,A Sanchez,0,0,CUB,.353,0.686,.267
C,T Alamo,0,0,CUB,.167,0.278,.111
3B,T Neuhaus,6,0,BRE,.311,0.613,.231
LF,J Martijn,1,0,RED,.185,0.305,.120
3B,K Franklin,1,3,RED,.326,0.691,.260
3B,M Ahmed,4,0,DOD,.358,0.704,.276
OF,C Burks,6,0,CUB,.344,0.641,.269
LF,Y Balaguert,0,0,CUB,.389,0.922,.267
1B,J Franco,0,0,MAR,.000,0.0,.000
OF,M Holloway,4,0,ROY,.403,0.603,.164
OF,H Onaka,2,0,RAN,.500,0.866,.341
C,G Erickson,0,0,DOD,.500,0.929,.286
C,E Vivas,0,0,ANG,--,0.0,--
C,J Riley,0,0,GIA,.321,0.613,.200
2B,A Patino,4,2,ROY,.349,0.68,.269
OF,S Sayles,5,3,IND,.331,0.576,.186
OF,M Smith,3,0,PAD,.297,0.622,.209
RF,E Minaya,0,0,PAD,.000,0.0,.000
2B,Y Suero,1,0,RED,.292,0.564,.235
2B,B Kay,3,1,GIA,.368,0.719,.255
3B,A Raga,0,2,ATH,.250,0.507,.189
1B,C Scammell,5,0,MAR,.358,0.743,.284
C,R Melendez,0,0,GIA,.154,0.385,.154
1B,K Freeman,0,0,CUB,.357,0.649,.262
C,K Petty,6,1,MAR,.386,0.856,.349
CF,M McPhearson,15,1,DIA,.311,0.55,.200
RF,T Alexander,5,0,DOD,.392,0.91,.253
3B,L Caballero,5,2,MAR,.382,0.709,.280
3B,J Sermo,4,0,BRE,.426,0.984,.372
3B,A Law,21,5,DOD,.430,0.848,.357
