SLG,oppOBP,oppOPS,AB,IP
0.318,0.321,0.716,22,6.0
0.352,0.316,0.729,253,67.7
0.41,0.309,0.703,575,149.7
0.409,0.321,0.729,237,66.3
0.418,0.307,0.703,491,125.7
0.48,0.306,0.681,396,98.0
0.444,0.314,0.726,385,100.7
0.376,0.321,0.724,125,32.3
0.385,0.324,0.738,626,161.7
0.294,0.319,0.738,221,62.0
0.284,0.317,0.72,250,68.7
0.47,0.32,0.736,183,46.7
0.296,0.323,0.73,189,54.7
0.374,0.318,0.733,511,136.3
0.465,0.32,0.727,690,178.0
0.406,0.318,0.73,298,75.0
0.422,0.318,0.727,517,136.3
0.434,0.323,0.746,449,114.7
0.38,0.316,0.724,71,19.3
0.667,0.314,0.708,33,8.0
0.459,0.309,0.707,418,107.0
0.204,0.326,0.726,49,13.7
0.396,0.314,0.712,654,174.7
0.269,0.322,0.741,186,54.3
0.337,0.324,0.737,187,53.3
0.341,0.313,0.736,44,11.3
0.403,0.312,0.714,258,68.7
0.418,0.313,0.717,658,171.0
0.455,0.316,0.72,415,107.3
0.38,0.321,0.727,255,69.7
0.517,0.322,0.722,87,22.3
0.586,0.309,0.699,128,30.0
0.737,0.312,0.696,38,9.0
2.6,0.356,0.866,5,0.3
0.472,0.321,0.732,144,38.0
0.544,0.315,0.721,206,48.3
0.414,0.307,0.704,763,202.3
0.519,0.324,0.726,27,8.7
0.463,0.324,0.742,294,73.3
0.524,0.306,0.682,21,5.0
0.421,0.3,0.704,19,6.0
0.643,0.305,0.693,28,6.0
0.295,0.318,0.716,129,35.0
0.364,0.319,0.698,33,9.3
1.03,0.33,0.776,33,5.7
0.548,0.307,0.719,104,24.3
0.512,0.302,0.688,570,142.3
0.389,0.312,0.706,126,34.7
