SH,GIDP,Player,OBP,G,HR,H,AB
3,20,F Hernandez,0.295,121,2,125,472
0,0,A Pagan,0.563,4,0,5,12
0,2,K Kaiser,0.363,50,5,44,165
0,4,M Liuzza,0.387,59,9,49,193
0,8,S Wilson,0.354,122,13,121,445
4,6,R Barron,0.323,65,2,56,212
5,6,D Sublett,0.376,114,4,107,397
0,5,C Kainer,0.297,57,2,58,218
0,2,I Davis,0.376,59,7,64,222
1,4,C Cipriano,0.402,72,5,71,239
0,0,L De La Cruz,0.154,4,0,2,13
4,4,M Reed,0.255,54,0,32,168
0,0,M Leon,0.364,8,0,8,28
1,6,P Vasquez,0.277,44,3,38,150
2,3,S Williams,0.361,60,3,52,197
2,4,J Naughton,0.301,82,7,67,279
0,6,Y Alonso,0.383,49,7,53,175
0,4,M Fields,0.293,51,11,52,201
1,7,C Cutler,0.406,44,1,40,146
1,13,F Pena,0.258,100,8,88,392
1,1,J Harrison,0.351,18,1,20,70
1,4,T Torres,0.359,35,1,35,127
0,1,C Ebarb,0.276,25,2,16,79
0,0,E Thames,0.386,52,3,61,195
0,0,A Quintana,0.375,2,0,1,6
3,3,J Gil,0.248,29,0,20,96
0,5,S Susdorf,0.421,40,3,56,151
0,0,P Kozma,0.381,18,0,23,73
