VORP,OBP,oppTAv,AVG,TEAM,GS,AGE
32.5,0.285,0.257,0.238,NYA,28,31
-2.9,0.415,0.259,0.368,SLN,0,36
6.7,0.332,0.264,0.271,SEA,28,37
18.2,0.301,0.258,0.267,CIN,32,35
19.5,0.299,0.261,0.249,NYA,33,37
9.5,0.336,0.266,0.252,HOU,0,28
-0.4,0.19,0.253,0.105,HOU,1,24
-0.3,0.35,0.266,0.278,NYN,0,25
3.0,0.319,0.259,0.256,CHN,20,30
-0.4,0.345,0.26,0.273,CHA,9,27
-1.9,0.345,0.264,0.256,BAL,2,28
-8.8,0.386,0.261,0.278,CHN,0,24
2.3,0.411,0.258,0.341,HOU,0,26
0.7,0.267,0.259,0.241,MIN,0,28
12.9,0.306,0.256,0.261,PHI,25,35
14.9,0.213,0.264,0.168,TBA,0,25
13.7,0.308,0.259,0.259,MIA,19,28
4.1,0.364,0.266,0.297,TEX,6,21
-5.6,0.338,0.261,0.273,CLE,17,24
21.0,0.28,0.261,0.214,TOR,21,27
11.0,0.33,0.262,0.288,MIN,11,29
6.9,0.196,0.265,0.13,SDN,0,28
3.6,0.438,0.245,0.386,MIL,0,33
19.3,0.315,0.255,0.257,LAN,25,27
-2.4,0.315,0.269,0.248,SEA,16,31
8.2,0.297,0.267,0.223,KCA,7,28
15.4,0.301,0.262,0.25,KCA,0,22
13.6,0.311,0.255,0.256,NYN,17,26
1.5,0.314,0.262,0.266,ARI,0,26
-0.4,0.334,0.262,0.284,MIN,5,26
-0.4,0.316,0.27,0.237,OAK,7,23
0.1,0.28,0.261,0.182,CHN,0,25
-4.9,0.425,0.263,0.302,KCA,12,29
13.8,0.353,0.262,0.31,DET,31,23
12.7,0.278,0.263,0.241,COL,0,37
3.4,0.332,0.257,0.211,CHA,4,24
-0.6,0.325,0.26,0.222,SLN,0,28
5.1,0.363,0.266,0.27,ATL,0,27
4.3,0.354,0.259,0.265,LAN,0,26
4.6,0.316,0.263,0.241,SFN,0,33
2.9,0.298,0.261,0.25,PIT,0,28
-0.6,0.305,0.261,0.247,SLN,0,27
3.7,0.292,0.255,0.259,TBA,0,29
-3.1,0.343,0.264,0.253,SEA,0,22
-4.3,0.36,0.264,0.247,MIA,0,25
10.6,0.294,0.255,0.249,SDN,14,32
-0.2,0.383,0.263,0.318,MIN,0,26
-1.4,0.455,0.273,0.393,TOR,0,29
-0.9,0.305,0.257,0.245,SDN,5,22
0.8,0.269,0.28,0.136,LAN,0,21
-3.0,0.259,0.264,0.157,CHA,0,26
-0.1,0.255,0.267,0.186,WAS,0,26
13.5,0.27,0.264,0.227,OAK,0,25
3.8,0.364,0.265,0.252,KCA,6,23
-0.5,0.361,0.257,0.235,TBA,0,27
6.3,0.242,0.265,0.16,OAK,0,34
0.1,0.333,0.288,0.333,OAK,0,27
6.1,0.282,0.264,0.213,TBA,8,29
5.4,0.178,0.263,0.16,TEX,0,37
7.3,0.28,0.262,0.215,SDN,0,28
31.0,0.313,0.265,0.22,TEX,29,25
19.6,0.302,0.259,0.24,CHN,28,27
4.7,0.282,0.26,0.207,TOR,0,32
8.0,0.311,0.253,0.243,MIL,7,26
