Player,BB,G,3B,CS,GIDP,SH,OBP,RBI
B Harrigan,6,29,1,0,3,0,0.289,5
F Cervelli,0,3,0,0,0,0,0.25,0
D Gianakas,3,11,0,0,1,0,0.263,4
J Ramirez,4,5,0,0,0,0,0.533,8
F Martinez,0,4,1,0,0,0,0.467,0
L Arzeno,0,11,0,0,0,0,0.209,7
R Rosario,26,51,2,7,2,0,0.358,20
A Rodriguez,17,41,0,1,3,2,0.348,16
S Sullivan,4,18,0,0,0,0,0.204,3
E Rimes,6,15,0,0,0,1,0.298,3
J Rodriguez,9,17,0,0,0,2,0.3,4
J Workman,6,18,1,2,0,0,0.4,8
D Vaughn,14,30,1,0,0,0,0.234,6
J Babrick,6,34,0,0,0,0,0.239,2
L Nieves,0,26,1,1,0,1,0.205,8
J Estrada,0,3,0,0,0,0,0.286,3
B Roberts,3,4,0,0,0,0,0.643,0
Y Silva,2,3,0,0,0,0,0.333,0
S Cousins,0,2,0,0,0,0,0.0,0
P Guerrero,8,32,0,3,4,2,0.315,13
C Vazquez,6,21,0,0,1,1,0.266,5
R Rio-Nunez,0,4,0,0,1,0,0.0,0
J Valdez,2,17,0,0,0,0,0.195,1
K Collado,7,19,0,1,4,1,0.393,5
A Ramirez,7,39,1,3,2,0,0.287,9
A Carrithers,28,39,1,1,1,1,0.464,17
M McCarney,1,10,0,1,2,0,0.257,5
D Lutz,9,34,0,1,2,0,0.317,19
M Brisker,11,32,0,4,1,1,0.37,6
T Waller,6,17,0,0,1,0,0.295,6
P Hissey,4,6,0,0,0,0,0.385,3
J Allman,12,27,0,0,2,1,0.427,10
L Milledge,0,2,0,0,0,0,0.25,1
E Cintron,2,21,0,1,1,0,0.246,4
K Denis-Fortier,1,13,0,0,0,0,0.268,3
K Anson,3,7,0,0,1,0,0.273,2
C Gross,6,46,0,1,3,0,0.286,20
J Torres,9,36,0,1,3,2,0.331,12
B Schlehuber,10,41,0,2,3,0,0.359,11
A Abreu,9,51,4,1,3,0,0.289,37
K Teran,12,26,0,0,2,1,0.377,3
A Diaz,12,32,0,0,7,0,0.323,9
G Erickson,12,29,0,1,0,0,0.349,7
