Player,Team,GIDP,R,SB,2B,SH
R Reed,LEX,1,12,6,5,2
S Gendron,GBO,12,65,14,22,1
W Toregas,LCO,15,57,0,22,2
R Braun,WVA,7,21,2,16,2
L Alen,GBO,2,9,0,4,2
M Young,ROM,3,85,10,15,7
R Fitzpatrick,SAV,4,40,23,13,1
D Kelly,GRE,1,3,0,0,0
W Batista,HAG,5,41,13,11,6
T Wilson,SAV,0,0,0,0,0
J Zapata,DEL,2,4,1,1,3
C Smith,DEL,8,34,0,18,0
J Castillo,KAN,9,16,2,11,2
B Ditter,SAV,12,38,11,14,0
S Bynum,SAV,3,32,6,13,0
J Barksdale,ROM,0,2,0,0,0
D Ivany,SAV,10,52,7,27,1
F Morales,ASH,0,0,0,0,1
P Powell,HIC,6,75,44,6,6
E Solano,HIC,0,0,0,0,0
G Brown,GBO,3,9,2,4,0
B Vericker,AUG,7,14,1,7,0
J Holmes,LCO,0,0,0,0,0
J Trejo,ROM,2,7,0,0,0
M Miller,ASH,7,79,9,34,0
G Isaacson,LAK,0,8,0,4,1
J Pietro,GBO,0,6,5,0,0
C Clem,LCO,0,3,0,0,0
C Medero-Stullz,COL,0,0,0,0,0
M Delacruz,DEL,0,10,0,1,0
B Carter,COL,9,38,0,6,1
J Restko,GBO,9,69,3,22,0
J Brady,WVA,12,37,6,15,1
V Pope,ROM,9,48,0,24,1
G Richardson,WVA,5,54,7,34,0
