WAR,RAR,Rbat,WAA,Rbaser,Acquired,Age,Rpos,Rdp,oWAR,dWAR
-0.2,-2,-6,-0.2,-0,Traded,22,5,-0,-0.2,-0.0
0.0,0,-1,0.0,0,Amateur Draft,24,1,-0,0.0,-0.0
0.0,0,0,0.0,0,Free Agency,36,0,0,0.0,-0.0
-0.6,-4,-8,-0.8,-0,Free Agency,34,1,-0,-0.6,0.1
-0.1,-0,-9,-0.1,0,Free Agency,29,8,0,-0.1,-0.0
0.0,0,-0,0.0,0,Waivers,27,0,0,0.0,-0.0
0.5,6,4,-0.2,-2,Free Agency,28,0,0,0.9,-0.5
0.0,0,0,0.0,0,Amateur Draft,26,0,0,0.0,-0.0
0.8,9,-0,0.2,0,Waivers,37,1,-1,0.6,0.2
0.1,1,1,0.1,-0,Free Agency,30,0,0,0.1,0.0
1.0,12,-3,-0.3,-2,Amateur Draft,29,7,-0,1.4,0.3
0.0,0,0,0.0,0,Traded,35,0,0,0.0,-0.0
0.0,0,-9,0.0,0,Amateur Draft,23,9,0,0.0,-0.0
-1.0,-8,-7,-1.2,-0,Traded,27,-0,-0,-0.6,-0.4
0.0,0,-1,0.0,-0,Free Agency,27,1,0,0.0,-0.0
-0.9,-6,-5,-1.4,-0,Free Agency,33,-1,-0,-0.3,-0.8
2.7,28,13,0.9,-3,Traded,31,-1,0,2.7,-0.2
-0.1,-1,-9,-0.1,-1,Amateur Draft,29,9,0,-0.1,-0.0
0.0,0,0,0.0,0,Traded,26,0,0,0.0,-0.0
0.0,0,-0,0.0,0,Free Agency,30,1,0,0.0,-0.0
3.2,32,13,1.5,3,Amateur Draft,30,-2,2,3.2,-0.4
0.7,7,-2,0.7,0,Traded,26,8,1,0.7,-0.0
-0.1,-1,-1,-0.1,0,Amateur Draft,27,-0,-0,-0.1,0.0
-0.3,-3,-1,-0.4,-0,Traded,26,-0,0,-0.1,-0.3
0.0,3,-8,-1.1,0,Amateur Draft,26,4,0,0.8,-0.3
0.0,0,0,0.0,0,Traded,25,0,0,0.0,0.0
0.0,0,-0,0.0,0,Amateur Free Agent,25,0,0,0.0,-0.0
0.0,0,0,0.0,0,Amateur Draft,28,0,0,0.0,-0.0
-0.3,-3,-3,-0.4,-0,Amateur Draft,24,-0,-0,-0.3,-0.0
0.0,0,-1,0.0,-0,Free Agency,32,2,0,0.0,-0.0
-0.1,-1,-2,-0.1,-0,Amateur Draft,23,1,0,-0.1,-0.0
2.3,25,-5,0.3,3,Traded,29,3,0,2.1,0.5
0.0,0,-5,0.0,-0,Free Agency,35,5,0,0.0,-0.0
0.0,0,0,0.0,0,Traded,29,0,0,0.0,-0.0
0.0,2,-3,-1.0,-0,Free Agency,29,-4,-0,0.2,-0.6
