WAR,RAR,Rbat,WAA,Rbaser,Acquired,Age,Rpos,Rdp,oWAR,dWAR
0.5,5,-1,0.5,-0,Traded,23,6,1,0.5,-0.0
0.0,0,0,0.0,0,Free Agency,37,0,0,0.0,-0.0
-0.1,-1,-9,-0.1,0,Traded,25,7,1,-0.1,-0.0
0.4,4,-3,0.2,0,Free Agency,32,1,-1,-0.2,0.6
0.0,0,0,0.0,0,Waivers,24,0,0,0.0,0.0
3.9,39,18,1.8,-3,Traded,31,-8,0,2.8,0.1
0.8,9,0,0.1,1,Waivers,28,1,-0,0.8,-0.0
-0.1,-1,-10,-0.1,-0,Free Agency,34,9,0,-0.1,-0.0
0.1,1,-1,0.1,-0,Traded,21,2,0,0.1,-0.0
0.3,3,-6,0.3,-1,Free Agency,34,10,1,0.3,-0.0
0.0,0,0,0.0,0,Free Agency,37,0,0,0.0,0.0
-1.0,-7,-6,-2.3,-0,Amateur Draft,30,2,-0,0.7,-1.5
2.3,24,2,0.8,0,Amateur Draft,32,7,-0,2.3,0.7
0.5,5,-4,0.5,-0,Amateur Free Agent,22,9,0,0.5,-0.0
-0.4,-3,-5,-0.8,-0,Amateur Draft,26,-1,-0,-0.4,-0.1
0.0,0,0,0.0,0,Amateur Free Agent,31,0,0,0.0,0.0
-0.1,-1,-1,-0.1,0,Traded,37,1,0,-0.1,-0.0
5.4,52,33,4.3,0,Traded,29,4,1,5.1,0.7
0.1,0,-0,0.1,0,Free Agency,25,1,0,0.1,-0.0
-0.6,-5,-5,-0.7,-0,Free Agency,29,0,0,-0.5,-0.1
-0.8,-7,-4,-0.9,-0,Traded,24,-0,-0,-0.4,-0.5
0.0,0,0,0.0,0,Free Agency,34,0,0,0.0,0.0
0.5,4,-4,0.5,-0,Amateur Draft,27,8,-0,0.5,-0.0
4.2,41,25,2.3,-0,Amateur Draft,25,-8,1,3.8,-0.5
0.0,0,-0,0.0,0,Traded,29,1,0,0.0,-0.0
0.5,5,-0,0.1,0,Traded,24,2,1,0.6,0.0
-1.7,-14,-11,-2.2,-1,Free Agency,37,-1,1,-0.9,-1.0
0.1,1,-1,0.1,-0,Amateur Draft,24,2,0,0.2,0.0
0.0,0,0,0.0,0,Traded,28,0,0,0.0,-0.0
2.2,21,9,1.4,0,Amateur Draft,23,1,1,2.0,0.3
0.0,0,-3,0.0,-0,Amateur Draft,26,3,0,0.0,0.0
0.2,2,-1,-0.1,0,Traded,32,-1,-0,0.1,-0.1
-0.2,-1,-9,-0.2,-0,Amateur Free Agent,24,8,-0,-0.2,-0.0
0.0,0,-1,0.0,-0,Traded,26,1,0,0.0,-0.0
0.7,9,6,-0.3,-0,Traded,29,-4,-0,1.1,-0.9
-0.4,-3,-6,-0.6,-1,Amateur Free Agent,27,1,-0,-0.5,0.2
-0.0,-0,-2,-0.0,-0,Amateur Draft,25,2,0,-0.0,0.0
-0.1,-1,-4,-0.1,-0,Amateur Draft,26,3,0,-0.1,0.0
0.0,0,-0,0.0,0,Amateur Draft,23,0,0,0.0,-0.0
3.8,39,26,1.6,4,Traded,30,-7,1,4.7,-1.7
0.9,9,5,0.4,-1,Amateur Draft,26,-2,-1,0.6,0.1
0.0,0,0,0.0,0,Free Agency,35,0,0,0.0,-0.0
0.1,0,-1,0.1,-0,Waivers,27,1,0,0.1,-0.0
0.7,7,-2,0.7,0,Traded,26,9,0,0.8,-0.0
0.1,3,-10,-1.1,-3,Amateur Draft,25,6,0,0.2,0.4
0.0,0,0,0.0,0,Amateur Draft,27,0,0,0.0,-0.0
0.0,0,0,0.0,0,Amateur Draft,28,0,0,0.0,-0.0
0.1,1,0,-0.0,-0,Waivers,26,-0,0,0.1,-0.1
-0.3,1,-29,-1.8,1,Amateur Draft,25,6,1,-1.0,1.3
2.2,23,9,0.4,0,Traded,37,3,1,3.0,-0.6
0.0,0,-0,0.0,0,Traded,24,0,0,0.0,-0.0
0.1,1,-9,0.1,-0,Amateur Draft,27,10,-0,0.1,-0.0
0.0,0,-9,0.0,-0,Amateur Draft,26,9,-0,0.0,-0.0
0.6,7,-2,0.2,-1,Waivers,29,2,1,0.6,0.3
-0.0,-0,-1,-0.0,0,Purchased,29,0,0,-0.0,0.0
1.5,16,-9,0.2,1,Free Agency,31,0,1,0.4,1.1
-0.3,-2,-9,-0.7,0,Amateur Draft,24,1,0,-0.4,0.2
0.0,0,0,0.0,0,Amateur Draft,27,0,0,0.0,-0.0
0.0,0,0,0.0,0,Amateur Draft,25,0,0,0.0,0.0
-0.3,-2,-2,-0.3,0,Amateur Draft,25,0,0,-0.2,-0.1
-0.0,-0,-0,-0.0,0,Traded,24,0,0,-0.0,0.0
-0.3,-2,-6,-0.3,0,Amateur Draft,22,3,0,-0.3,-0.0
1.1,10,-2,0.8,-0,Amateur Draft,26,-0,-0,-0.1,1.1
2.3,25,10,0.4,-0,Amateur Free Agent,26,2,-2,3.0,-0.4
0.0,0,-0,0.0,0,Traded,34,0,0,0.0,-0.0
0.0,0,0,0.0,0,Free Agency,34,0,0,0.0,-0.0
0.0,0,-0,0.0,0,Amateur Draft,25,0,0,0.0,-0.0
0.0,0,0,0.0,0,Amateur Free Agent,26,0,0,0.0,0.0
-0.7,-2,-15,-2.5,4,Amateur Draft,28,-4,1,0.1,-1.3
-0.2,-1,-4,-0.2,-0,Amateur Draft,24,2,0,-0.2,-0.0
-1.3,-8,-0,-3.1,-0,Traded,36,0,-2,1.5,-2.8
0.0,0,-0,-0.0,-0,Amateur Draft,25,0,0,0.0,-0.0
-0.1,-0,-1,-0.1,0,Amateur Draft,25,1,0,-0.1,-0.0
-1.0,-8,-12,-1.4,1,Free Agency,36,-1,1,-1.0,-0.1
5.3,52,17,3.2,0,Amateur Draft,26,-7,2,3.4,1.1
-0.1,-1,-3,-0.1,-0,Free Agency,30,3,0,-0.1,-0.0
-0.1,-0,-1,-0.1,0,Amateur Draft,24,-0,-0,-0.1,-0.0
-0.4,1,-31,-2.2,1,Amateur Draft,27,3,-2,-1.5,1.5
-0.2,-1,-4,-0.3,1,Traded,22,0,0,-0.2,0.0
-0.0,0,-5,-0.0,-0,Free Agency,35,6,-0,0.0,-0.0
-0.6,-4,-5,-1.0,1,Amateur Free Agent,25,0,1,0.1,-0.7
0.0,0,0,0.0,0,Traded,29,0,0,0.0,-0.0
-0.1,-1,-1,-0.1,0,Amateur Draft,28,1,0,-0.1,0.0
-0.1,-0,-10,-0.1,-0,Amateur Draft,28,10,0,-0.1,-0.0
0.0,0,-0,0.0,0,Amateur Draft,27,0,0,0.0,-0.0
0.2,2,-5,0.2,-0,Amateur Free Agent,26,7,1,0.2,-0.0
0.1,1,-7,0.1,-0,Traded,28,8,-0,0.1,-0.0
0.0,0,0,0.0,0,Amateur Draft,26,0,0,0.0,0.0
-0.0,-0,-0,-0.0,0,Waivers,29,0,0,-0.0,0.0
-0.0,-0,-1,-0.0,0,Amateur Draft,29,1,-0,-0.0,-0.0
0.0,0,0,0.0,0,Free Agency,38,0,0,0.0,0.0
-0.3,-2,-6,-0.9,-1,Free Agency,33,0,-1,-0.3,-0.1
0.1,1,0,0.1,0,Amateur Draft,24,0,0,0.1,0.0
0.0,0,-0,0.0,0,Traded,25,0,0,0.0,-0.0
-0.2,-2,-1,-0.2,0,Free Agency,28,0,0,-0.1,-0.1
-0.5,-4,-4,-0.7,-0,Amateur Draft,27,0,1,-0.2,-0.2
-0.3,-2,-5,-0.3,-0,Traded,36,3,0,-0.3,0.0
-0.0,-0,-0,-0.0,0,Amateur Draft,24,0,0,-0.0,-0.0
0.3,3,-2,0.3,0,Amateur Draft,23,5,0,0.3,-0.0
0.4,6,-0,-0.5,2,Amateur Draft,28,1,-0,1.1,-0.6
0.0,0,0,0.0,0,Traded,26,0,0,0.0,0.0
-0.0,1,-3,-0.8,1,Traded,23,1,1,0.7,-0.6
1.2,13,11,0.1,-2,Amateur Draft,24,-4,-1,1.5,-0.8
-0.7,-5,-11,-1.1,0,Free Agency,32,-1,1,-0.9,0.0
0.0,0,0,0.0,0,Traded,38,0,0,0.0,-0.0
2.0,21,3,0.4,3,Amateur Draft,27,2,0,2.4,-0.2
0.0,0,-1,0.0,-0,Traded,33,2,-0,0.0,-0.0
0.1,1,-1,0.1,0,Amateur Free Agent,23,-0,0,-0.1,0.2
-0.6,-3,-12,-1.6,4,Amateur Draft,24,2,2,0.5,-0.8
-0.1,1,-14,-0.7,-1,Free Agency,26,3,0,-0.7,0.9
0.0,0,0,0.0,0,Amateur Draft,25,0,0,0.0,-0.0
0.1,1,-0,0.1,-0,Traded,28,2,0,0.1,-0.0
-2.1,-14,-31,-4.0,-5,Traded,24,7,-1,-1.7,0.3
0.0,0,0,0.0,0,Waivers,27,0,0,0.0,0.0
0.0,0,0,0.0,0,Amateur Draft,26,0,0,0.0,0.0
0.0,0,0,0.0,0,Free Agency,30,0,0,0.0,-0.0
-0.1,-0,-1,-0.1,0,Amateur Draft,25,1,0,-0.1,0.0
0.0,1,-3,-0.4,-1,Amateur Draft,26,-2,-0,-0.2,0.0
2.3,24,2,0.8,2,Amateur Free Agent,24,6,0,2.6,0.4
-0.0,-0,-7,-0.0,-0,Traded,31,8,-0,-0.0,-0.0
-0.0,2,8,-1.0,0,Amateur Draft,26,-4,-1,1.2,-1.8
1.9,20,6,0.7,-2,Amateur Draft,26,5,1,2.2,0.2
-0.1,-1,-4,-0.1,-0,Amateur Draft,27,3,0,-0.1,0.0
2.2,23,-6,0.4,1,Amateur Draft,26,7,1,2.0,0.9
0.0,0,-1,0.0,-0,Traded,26,1,0,0.0,0.0
-0.4,-2,-4,-1.1,0,Amateur Draft,28,-0,1,0.3,-0.8
-0.1,-1,-3,-0.1,-0,Traded,24,1,0,-0.1,-0.0
2.3,25,17,0.3,1,Free Agency,36,-6,-1,3.1,-1.5
0.0,0,0,0.0,0,Amateur Draft,27,0,0,0.0,0.0
0.0,0,0,0.0,0,Free Agency,33,0,0,0.0,-0.0
0.0,0,0,0.0,0,Free Agency,36,0,0,0.0,-0.0
-0.0,-0,-0,-0.0,0,Waivers,25,0,0,-0.0,-0.0
-0.3,-2,-6,-0.7,-0,Traded,24,2,-0,-0.1,-0.0
1.2,12,5,0.4,-1,Amateur Draft,28,-2,-0,1.0,-0.0
0.1,1,-0,0.1,-0,Free Agency,31,1,0,0.1,-0.0
0.0,0,0,0.0,0,Amateur Free Agent,27,0,0,0.0,-0.0
3.9,38,10,2.1,-0,Amateur Draft,27,3,-1,2.9,1.2
-0.9,-7,-5,-1.4,-1,Free Agency,34,-1,-1,-0.6,-0.5
0.0,0,0,0.0,0,Conditional Deal,32,0,0,0.0,0.0
0.0,0,0,0.0,0,Traded,24,0,0,0.0,-0.0
2.5,26,17,0.8,1,Amateur Draft,25,-5,2,3.3,-1.4
-0.2,-0,-2,-0.8,0,Amateur Draft,23,1,2,0.6,-0.7
2.8,28,9,1.5,2,Rule 5 Draft,26,5,2,3.2,0.1
7.1,68,46,4.9,0,Amateur Draft,25,-9,-3,5.7,0.3
-0.1,-0,-1,-0.1,-0,Amateur Free Agent,28,-0,0,-0.1,-0.0
0.0,0,0,0.0,0,Free Agency,33,0,0,0.0,-0.0
-0.9,-7,-6,-1.5,-1,Amateur Draft,26,-2,1,-0.4,-0.8
3.3,34,11,1.3,-1,Amateur Draft,26,3,-2,3.0,0.5
3.1,31,11,1.2,-3,Amateur Draft,27,7,-1,3.3,0.5
-0.1,-1,-6,-0.1,0,Traded,23,5,0,-0.1,-0.0
-0.4,-3,-3,-0.6,0,Traded,27,0,0,-0.1,-0.2
-0.0,3,-11,-1.3,2,Traded,24,3,1,0.6,-0.4
0.8,12,-0,-1.1,0,Free Agency,33,-8,-0,0.8,-1.0
0.1,1,-1,0.1,-0,Amateur Draft,23,0,0,0.0,0.1
0.0,0,0,0.0,0,Free Agency,37,0,0,0.0,-0.0
-0.1,-0,-1,-0.1,0,Waivers,25,-0,0,-0.1,0.0
-1.2,-8,-2,-2.1,-1,Free Agency,27,-3,-1,0.0,-1.6
0.1,1,0,0.1,-0,Free Agency,35,1,0,0.1,0.0
8.5,79,19,6.6,1,Traded,27,3,-1,4.2,4.6
-1.4,-10,-2,-2.6,-1,Traded,33,-1,-0,0.6,-2.2
-0.1,-1,-3,-0.1,-0,Amateur Draft,21,3,0,-0.1,-0.0
0.0,0,0,0.0,0,Traded,28,0,0,0.0,-0.0
0.6,8,12,-0.5,-4,Free Agency,35,1,-1,2.0,-1.3
-0.9,-7,-12,-1.7,1,Amateur Free Agent,23,3,0,-0.2,-0.4
0.2,2,1,-0.1,-0,Amateur Draft,25,1,-0,0.3,-0.0
0.0,0,0,0.0,0,Free Agency,33,0,0,0.0,-0.0
0.0,0,0,0.0,0,Amateur Draft,27,0,0,0.0,-0.0
4.7,46,33,3.0,0,Free Agency,34,-5,-0,4.7,-0.6
4.5,42,4,3.1,0,Amateur Free Agent,26,7,-2,2.4,2.8
-0.0,-0,-0,-0.0,0,Free Agency,33,0,0,-0.0,0.0
4.2,41,2,2.6,-2,Free Agency,30,8,1,2.5,2.5
0.8,9,-14,-0.3,1,Amateur Draft,26,-2,1,-0.5,1.0
2.9,30,2,0.9,1,Amateur Draft,27,3,-0,2.4,0.7
0.0,0,0,0.0,0,Waivers,31,0,0,0.0,0.0
