oppSLG,VORP,LVL,TEAM,YEAR,PA,G
0.416,-2.5,MLB,SFN,2012,272,73
0.391,1.8,MLB,SDN,2012,105,27
0.41,7.1,MLB,CHA,2012,301,65
0.399,-2.1,MLB,CLE,2012,108,18
0.392,8.0,MLB,MIL,2012,165,7
0.415,10.4,MLB,NYA,2012,748,28
0.405,0.8,MLB,KCA,2012,148,12
0.375,1.6,MLB,COL,2012,33,6
0.394,19.3,MLB,LAN,2012,633,25
0.412,5.4,MLB,SLN,2012,256,65
0.415,-2.0,MLB,ANA,2012,20,3
0.405,14.7,MLB,COL,2012,502,24
0.401,0.3,MLB,TOR,2012,136,13
0.397,11.7,MLB,WAS,2012,370,59
0.394,1.2,MLB,SDN,2012,48,11
0.42,8.3,MLB,TBA,2012,264,76
0.39,-5.9,MLB,NYN,2012,216,45
0.425,7.8,MLB,MIL,2012,131,36
0.408,-3.7,MLB,BOS,2012,215,11
0.389,-5.6,MLB,COL,2012,422,19
0.401,4.7,MLB,KCA,2012,396,16
0.402,-2.2,MLB,SFN,2012,133,22
0.408,-2.0,MLB,MIA,2012,66,11
0.409,8.6,MLB,MIN,2012,714,27
0.404,0.2,MLB,CHN,2012,85,4
0.413,9.6,MLB,TEX,2012,228,61
0.409,10.2,MLB,CHA,2012,568,25
0.406,0.3,MLB,HOU,2012,827,32
0.391,10.6,MLB,SDN,2012,383,18
0.408,-0.2,MLB,TOR,2012,8,2
0.401,-0.0,MLB,SFN,2012,15,6
0.394,25.4,MLB,PIT,2012,851,31
0.418,-0.4,MLB,LAN,2012,21,7
0.396,-3.1,MLB,SDN,2012,169,7
0.389,2.1,MLB,PIT,2012,107,10
0.413,29.2,MLB,TBA,2012,836,31
0.39,-6.7,MLB,CHA,2012,134,18
0.416,2.9,MLB,SLN,2012,97,29
0.398,28.4,MLB,SLN,2012,831,32
0.403,31.0,MLB,SFN,2012,876,32
0.407,5.2,MLB,ANA,2012,172,45
0.399,4.4,MLB,PIT,2012,330,61
0.411,-4.5,MLB,SLN,2012,196,70
0.413,10.7,MLB,BAL,2012,434,18
0.429,1.1,MLB,DET,2012,189,27
0.414,-4.1,MLB,SEA,2012,887,33
0.414,0.3,MLB,HOU,2012,223,77
0.419,2.1,MLB,MIA,2012,286,73
0.414,16.9,MLB,OAK,2012,636,24
0.405,-0.4,MLB,ANA,2012,318,30
0.416,7.2,MLB,TOR,2012,117,33
0.416,3.8,MLB,KCA,2012,121,6
0.441,2.8,MLB,BOS,2012,24,1
0.406,-11.0,MLB,BAL,2012,573,33
0.414,54.4,MLB,DET,2012,956,33
0.41,8.5,MLB,CLE,2012,242,61
0.424,9.0,MLB,BAL,2012,496,24
0.406,19.4,MLB,TEX,2012,427,16
0.388,9.1,MLB,ARI,2012,375,28
0.405,3.9,MLB,CHA,2012,253,12
0.416,-5.3,MLB,TOR,2012,97,11
0.409,-0.9,MLB,CHN,2012,67,12
0.423,-5.0,MLB,PHI,2012,34,6
0.398,5.5,MLB,OAK,2012,137,6
0.393,1.8,MLB,NYA,2012,171,39
0.4,3.9,MLB,SEA,2012,193,46
0.416,6.1,MLB,TBA,2012,156,8
0.394,12.1,MLB,NYA,2012,303,12
0.411,13.8,MLB,DET,2012,783,31
0.405,1.1,MLB,CHN,2012,94,21
0.398,1.3,MLB,SDN,2012,401,15
0.41,-0.2,MLB,BAL,2012,66,5
0.408,-0.7,MLB,DET,2012,55,3
0.399,33.2,MLB,LAN,2012,901,33
0.369,0.6,MLB,CHA,2012,30,2
0.389,30.6,MLB,NYN,2012,927,34
0.404,0.4,MLB,KCA,2012,73,13
