G,Player,R,SLG,SH,RBI,SB,H,SO
116,R Liriano,81,.499,2,62,65,145,95
58,B Hernandez,22,.286,3,19,3,35,59
100,J Bosnik,31,.363,1,42,2,78,79
27,B Stone,7,.301,0,10,0,16,24
20,O Arcia,18,.704,0,18,2,25,16
13,F Cruz,2,.227,1,0,0,10,8
129,H Perez,69,.364,11,42,23,130,87
33,K Fontanez,10,.259,2,9,0,22,22
2,R Soares,1,.000,0,0,0,0,0
117,W Lin,58,.358,10,40,12,114,80
39,R Pena,19,.403,0,8,2,28,24
9,J McCann,0,.088,0,1,0,2,12
66,G Montilla,26,.418,1,30,7,57,49
20,E Boike,11,.333,0,10,2,16,24
132,P Wunderlich,56,.432,0,86,0,132,83
50,J Murphy,14,.346,0,24,0,36,43
93,M Swinson,46,.329,1,26,9,82,59
3,J Azcona,2,.667,0,5,0,2,3
33,R Jenkins,13,.322,0,14,0,28,21
99,C Edmondson,51,.456,0,54,5,85,73
61,C Henderson,17,.280,1,10,2,41,36
132,L Ray,76,.432,2,74,10,119,132
3,T Motter,1,.455,0,3,1,2,4
1,J Gonzalez,0,--,0,0,0,0,0
19,D Petitti,3,.179,5,3,0,8,15
72,R Ortiz,24,.330,1,22,8,49,67
1,B Marcoe,0,.000,0,0,0,0,2
125,L Landry,59,.360,8,41,28,125,67
98,A Leer,40,.290,5,35,4,72,103
7,S Caseres,2,.269,0,2,0,6,4
1,J Meador,0,.000,0,0,0,0,2
105,J Sierra,40,.297,1,29,30,89,117
4,B May,3,.462,1,3,0,2,5
43,D Geiger,14,.319,1,13,0,37,38
7,P Mooney,3,.600,0,1,0,9,5
124,D Machado,47,.247,10,28,25,101,77
32,D Narodowski,10,.361,0,7,3,31,27
21,J Parks,5,.197,0,7,1,12,19
89,R Gomez,42,.388,3,37,15,90,91
114,G Hopkins,54,.333,6,53,16,95,88
125,A Giansanti,53,.372,3,56,8,103,80
23,M Acosta,16,.403,1,11,1,17,20
71,J Blackwood,29,.494,0,43,6,77,51
104,D Santana,55,.373,10,41,24,90,98
12,J Nunez,3,.132,0,3,0,4,7
13,R Ruiz,4,.167,0,2,1,5,8
1,I Nazario,0,.000,0,0,0,0,0
45,R Garvey,14,.248,0,9,5,27,38
6,D Macias,3,.308,0,1,0,7,2
126,R Alvarez,54,.388,2,64,2,124,96
87,B Heere,26,.318,4,35,0,68,62
48,T Jones,18,.351,1,16,2,36,31
11,D Childs,4,.459,4,6,0,10,11
110,D Landaeta,51,.364,2,55,10,105,89
13,J Goncalves,5,.326,2,3,3,12,9
33,C Mirabal,6,.287,1,7,1,27,20
6,E Williams,5,.300,0,1,3,6,3
34,L Rodriguez,10,.311,1,5,6,33,36
17,J Schlander,3,.222,0,7,0,7,16
19,D Poulk,6,.403,0,10,1,17,16
43,B Taylor,16,.367,1,17,1,43,34
46,J Crisotomo,19,.456,1,20,7,55,22
35,J Bergman,24,.356,0,18,2,34,16
91,B Fletcher,54,.560,0,60,4,112,80
37,J Hawkins,23,.306,2,10,10,28,32
120,K Kiermaier,54,.338,9,39,27,97,99
25,C Casali,10,.400,2,14,0,17,9
123,R Jones,62,.538,0,98,0,146,125
1,B Carter,0,--,0,0,0,0,0
86,S Moya,38,.362,0,39,1,66,127
50,J Dore,18,.354,0,14,0,32,53
