OPS,SH,2B,GIDP,OBP,SB,AVG,3B,Player,Team
0.672,7,15,2,.273,7,.225,3,P Guerrero,GL
0.718,7,13,6,.360,41,.252,6,K Wilson,LAN
0.908,0,7,1,.348,5,.262,4,D Robinson,BUR
0.527,2,6,1,.240,2,.191,0,B Dailey,DAY
0.752,1,19,5,.329,9,.278,5,A Workman,CR
1.043,0,1,0,.563,0,.440,0,L Washington,LC
0.552,0,5,3,.279,1,.208,0,G Wittels,QC
0.787,0,20,8,.355,13,.245,5,J Blash,CLI
0.607,2,12,3,.298,2,.210,1,R Garcia,LC
0.554,0,2,0,.304,0,.200,0,A Morales,CLI
0.734,4,20,7,.355,20,.290,2,B Myles,LC
0.74,1,7,1,.372,2,.274,1,C Peters,LAN
0.902,2,12,6,.402,2,.288,0,C Casali,WM
0.767,0,14,4,.301,1,.251,0,D Geiger,PEO
0.693,0,1,2,.300,0,.250,0,B Billigen,SB
0.574,2,10,7,.271,1,.234,0,M Scioscia,CR
0.563,3,4,1,.304,1,.223,0,A Munoz,LAN
1.417,0,0,0,.750,0,.667,0,B Namba,LAN
0.732,3,22,8,.312,18,.257,4,L Mateo,QC
0.743,6,30,8,.354,30,.244,5,S Jamieson,SB
0.609,1,5,3,.282,7,.227,2,N Cuevas,GL
0.586,6,9,5,.305,19,.225,0,O Zapata,PEO
0.665,0,2,2,.299,0,.217,2,E Gonzalez,PEO
0.616,5,6,6,.319,2,.222,3,Z MacPhee,LC
0.653,1,12,4,.308,8,.280,1,A Llanos,KC
0.91,0,5,3,.398,4,.338,0,J Soler,PEO
0.801,1,14,4,.319,5,.288,3,S Moya,WM
0.71,1,5,2,.363,9,.228,2,K Carter,BG
0.543,8,9,4,.271,14,.222,2,J Lopez,KC
0.778,0,1,1,.333,0,.333,0,B Wiley,QC
0.666,2,6,1,.317,0,.209,0,C Schaeffer,LAN
0.677,2,0,1,.373,4,.304,0,C Taylor,CLI
0.823,0,18,9,.376,3,.295,1,S Piscotty,QC
0.626,2,4,4,.313,2,.229,1,R Reyes,QC
0.471,1,6,4,.221,1,.180,0,E Escobar,KC
0.869,2,4,0,.309,0,.280,2,L Castillo,WM
0.949,0,18,7,.419,4,.314,5,C Walsh,QC
0.707,4,25,9,.307,4,.253,2,J King,WM
0.364,0,1,1,.176,0,.125,0,W Argo,BG
0.696,1,3,0,.385,1,.273,0,B Zapenas,PEO
0.58,1,12,6,.319,11,.206,4,A Shipman,BUR
0.67,1,13,3,.323,7,.274,1,E Stamets,CR
0.625,5,14,5,.300,8,.243,2,C Pan,BUR
