SO,POS,AVG,BB,SH,G,SF,SB,Player
17,OF,.321,18,1,35,3,5,A Schmiesing
1,2B,.286,1,0,2,0,0,J Newman
9,2B,.167,7,1,14,1,2,R Tropiano
5,SS,.111,3,0,7,1,0,E Ontiveros
1,DH,.200,0,0,2,0,0,S Choo
8,OF,.313,3,0,14,1,1,B Clevlen
0,OF,.000,2,0,2,0,1,J Moran
10,OF,.333,1,0,9,1,5,S Douglas
28,3B,.337,12,0,27,1,2,J Del Campo
9,OF,.150,2,0,9,2,0,C Kingrey
45,CF,.191,10,2,47,2,1,A Oliveras
13,DH,.279,0,2,21,0,7,R Henry
52,OF,.203,9,0,35,1,4,B Hubbert
20,OF,.212,3,1,41,1,1,T Hamaoka
16,C,.163,8,0,18,1,0,G Erickson
18,OF,.188,14,0,24,0,5,D Dixon
2,CF,.143,1,0,2,0,0,L Milledge
26,OF,.301,19,0,47,2,11,M Dening
5,DH,.371,5,1,10,0,4,R Dent
12,SS,.280,13,0,30,1,0,R Wehrle
23,SS,.130,3,1,22,2,1,E Harryman
33,OF,.267,16,1,27,0,5,M Crockett
58,OF,.253,17,1,53,1,2,L Sumoza
21,SS,.371,4,0,29,0,1,D Winn
15,OF,.272,8,0,21,1,0,A Bonevacia
6,SS,.192,5,0,19,0,0,T Johnson
