Player,SF,SH,SO,GIDP,Team,CS,AB
A Giobbi,1,3,22,4,HD,0,77
J Pozo,1,0,17,1,LE,0,48
Y Grandal,3,0,57,6,BAK,0,206
T Morris,0,0,8,0,HD,0,25
J Sanders,0,1,31,2,MOD,0,109
J Austin,4,1,73,5,LAN,11,315
P Burrell,0,0,1,0,SJ,0,8
J Owings,2,2,84,4,VIS,2,354
J Clark,2,1,66,6,MOD,2,214
C Martinez,3,3,63,8,MOD,6,236
B Borchering,5,0,162,10,VIS,1,531
M Cerione,0,0,40,5,HD,3,157
